"state","city","neighbourhood","lat","lng"
"Valle del Cauca","Cali","SAN NICOLÁS",3.4558256,-76.5228101
"Norte de Santander","Cúcuta","SAN NICOLAS",7.88213475,-72.50166055
"Nariño","Nariño","SAN NICOLÁS",1.16213155,-77.5464174
"Cundinamarca","Soacha","SAN NICOLAS",4.5582856,-74.2432188
"Cundinamarca","Soacha","SAN NICOLÁS",4.5582856,-74.2432188
"Atlántico","Barranquilla","SAN PABLO",10.9587097,-74.8660641
"Cundinamarca","Bogotá D.C.","SAN PABLO",4.634625,-74.09636
"Santander","Bucaramanga","SAN PABLO",7.1142936,-73.1196142
"Valle del Cauca","Cali","SAN PABLO",3.4427033,-76.5171225
"Antioquia","Medellín","SAN PABLO",6.2846151,-75.5458657
"Nariño","Nariño","SAN PABLO",1.6690825,-77.0119996
"Magdalena","Santa Marta","SAN PABLO",11.2240021,-74.2116142
"Valle del Cauca","Cali","SAN PASCUAL",3.4454429,-76.5278686
"Valle del Cauca","Cali","SAN PEDRO CLAVER",3.4296881,-76.5011286
"Bolivar","Cartagena","SAN PEDRO CONSOLADO",10.008772,-75.044029
"Bolivar","Cartagena","SAN PEDRO MARTIN",10.3716812,-75.4912717
"Bolivar","Cartagena","SAN PEDRO MARTIR",10.3716812,-75.4912717
"Bolivar","Cartagena","SAN PEDRO MÁRTIR",10.3716812,-75.4912717
"Cundinamarca","Bogotá D.C.","SAN PEDRO",4.7442998,-74.121513
"Santander","Bucaramanga","SAN PEDRO",7.1174115,-73.11393
"Valle del Cauca","Cali","SAN PEDRO",3.4529063,-76.5336495
"Bolivar","Cartagena","SAN PEDRO",10.413227,-75.50637625
"Cundinamarca","Bogotá D.C.","SAN RAFAEL JERUSALÉN",4.69337445,-74.08365325
"Cundinamarca","Bogotá D.C.","SAN RAFAEL",4.63349265,-74.08365325
"Santander","Bucaramanga","SAN RAFAEL",7.1401269,-73.1346112
"Cundinamarca","Soacha","SAN RAFAEL",4.5805675,-74.20420855
"Cundinamarca","Bogotá D.C.","SAN RITA",4.621065,-74.093669
"Atlántico","Barranquilla","SAN ROQUE",10.9702352,-74.7819819
"Cundinamarca","Bogotá D.C.","SAN ROSITA",4.7030624,-74.10999085
"Atlántico","Barranquilla","SAN SALVADOR",11.0235947,-74.8053829
"Nariño","Nariño","SAN SEBASTIAN",1.0808899,-77.55889
"Nariño","Nariño","SAN SEBASTIÁN",1.0808899,-77.55889
"Santander","Bucaramanga","SAN VALENTIN",7.1155121,-73.1184802
"Santander","Bucaramanga","SAN VALENTÍN",7.1155121,-73.1198203
"Cundinamarca","Bogotá D.C.","SAN VICENTE",4.58099415,-74.1389429
"Bolivar","Cartagena","SAN VICENTE",10.4024955,-75.51666715
"Atlántico","Manatí","SAN VICENTE",10.4551715,-74.956391
"Nariño","Nariño","SAN VICENTE",1.37803,-77.1333
"Atlántico","Soledad","SAN VICENTE",10.8905674,-74.7867355
"Cundinamarca","Bogotá D.C.","SANANTONIO",4.66749685,-74.0713175
"Cundinamarca","Bogotá D.C.","SANCALLETANO",4.67664635,-74.1136244
"Cundinamarca","Bogotá D.C.","SANCHEZ LAGUNA",4.69032795,-74.11577415
"Cundinamarca","Bogotá D.C.","SÁNCHEZ LAGUNA",4.69032795,-74.11577415
"Norte de Santander","Cúcuta","SÁNCHEZ",7.8919998,-72.503371
"Cundinamarca","Bogotá D.C.","SANCRISTOBAL",4.5591989,-74.091471
"Cundinamarca","Bogotá D.C.","SANFRANSISCO",4.6019846,-74.1252762
"Santander","Bucaramanga","SANFRANSISCO",7.1311741,-73.12449895
"Nariño","Nariño","SANGARIAL",1.6675542,-77.0236332
"Santander","Bucaramanga","SANGERARDO",7.10223725,-73.1197366
"Cundinamarca","Bogotá D.C.","SANMIGUEL",4.664036,-74.09045535
"Antioquia","Medellín","SANRA TERESITA",6.2438283,-75.611352
"Cundinamarca","Bogotá D.C.","SANTA ANA",4.68726115,-74.0396359
"Santander","Bucaramanga","SANTA ANA",7.113056,-73.1133398
"Valle del Cauca","Cali","SANTA ANA",3.4198407,-76.5228832
"Norte de Santander","Cúcuta","SANTA ANA",7.8905281,-72.4650172
"Antioquia","Medellín","SANTA ANA",6.2503926,-75.5847116
"Magdalena","Santa Marta","SANTA ANA",11.2269898,-74.1810002
"Cundinamarca","Bogotá D.C.","SANTA BARBARA",4.696302,-74.03316965
"Cundinamarca","Bogotá D.C.","SANTA BÁRBARA",4.692808,-74.0327235
"Santander","Bucaramanga","SANTA BARBARA",6.9919262,-72.9083916
"Santander","Bucaramanga","SANTA BÁRBARA",7.09783455,-73.10114075
"Valle del Cauca","Cali","SANTA BARBARA",3.4688777,-76.4895637
"Valle del Cauca","Cali","SANTA BÁRBARA",3.4688777,-76.4895637
"Norte de Santander","Cúcuta","SANTA BARBARA",7.89273655,-72.47578795
"Nariño","Nariño","SANTA BARBARA",2.4505212,-77.9802693
"Nariño","Nariño","SANTA BÁRBARA",2.4505212,-77.9802693
"Norte de Santander","Villa del Rosario","SANTA BÁRBARA",7.82073125,-72.47337595
"Nariño","Nariño","SANTA BRIGADA",0.8659046,-77.5070275
"Cundinamarca","Bogotá D.C.","SANTA CATALINA",4.61233985,-74.1469326
"Nariño","Nariño","SANTA CECELIA",2.396884,-78.4474709
"Cundinamarca","Bogotá D.C.","SANTA CECILIA",4.676712,-74.1090765
"Antioquia","Medellín","SANTA CECILIA",6.2756415,-75.5624795
"Cundinamarca","Bogotá D.C.","SANTA CELICIA",4.7044695,-74.10902155
"Valle del Cauca","Cali","SANTA CLARA",3.4273151,-76.4642617
"Bolivar","Cartagena","SANTA CLARA",10.3825014,-75.5036481
"Nariño","Nariño","SANTA CLARA",0.94671,-77.62133
"Cundinamarca","Bogotá D.C.","SANTA CRUZ",4.6673665,-74.07544145
"Antioquia","Medellín","SANTA CRUZ",6.2933582,-75.5582376
"Nariño","Nariño","SANTA CRUZ",1.51723,-77.25114
"Magdalena","Santa Marta","SANTA CRUZ",11.2129014,-74.1853752
